ID,Имя,Telegram ID,Тариф,Статус,Начало,Окончание,Амба
33,Юлия,1418059380,490,активно,01.01.2026,31.01.2026,нет
34,Julia Tower🏰,1356024320,,активно,16.11.2025,16.12.2025,нет
35,Марина,1786148789,,активно,27.12.2025,26.01.2026,нет
36,Valeria,429204895,,активно,26.12.2025,25.01.2026,нет
37,MARINA VILKOVA,786569174,,активно,30.12.2025,29.01.2026,нет
38,Виктория Барвинская,5124130920,490,активно,07.01.2026,06.02.2026,нет
39,Павел,381733446,,активно,03.01.2026,02.02.2026,нет
40,Полина,883492164,290,,11.02.2026,13.03.2026,нет
41,Anastasiia,726139727,290,,,,нет
42,Олеся,1265813252,490,не активно,19.01.2026,18.02.2026,нет
43,Кристина Юрова,360966258,490,не активно,14.02.2026,16.03.2026,нет
44,Юля Келлер,1806156653,,активно,04.12.2025,03.01.2026,нет
45,Кузьмич,8098949097,,уже активно,09.01.2026,08.02.2026,нет
46,Ольга,1535822290,490,активно,07.01.2026,06.02.2026,нет
47,Яна Влади 💖,1370439273,,активно,17.12.2025,16.01.2026,нет
48,Полина Макарова,808347684,,активно,26.12.2025,25.01.2026,нет
49,Suzikvatro,536493765,290,активно,,,нет
50,король шутов,7277026063,290,,,,нет
51,Solncev Nikita,964656294,,активно,15.12.2025,16.01.2026,нет
52,Анисия Архипова,1207306685,290,не активно,15.11.2025,18.11.2025,нет
53,itstrue,560931571,490,активно,14.01.2026,13.02.2026,нет
54,Ольга,5291561854,1190,,21.02.2026,23.03.2026,нет
55,Даниил Русских,1392874531,490,,15.11.2025,15.12.2025,нет
56,Глеб,855997267,290,не активно,15.11.2025,11.12.2025,нет
57,Art G,37212497,490,активно,26.12.2025,25.01.2026,нет
58,Александр Рыков,6011024530,490,активно,15.02.2026,17.03.2026,нет
59,Евгений,1986527126,290,активно,31.01.2026,01.05.2026,нет
60,Tatyana Matorina,358221204,290,не активно,09.11.2025,08.12.2025,нет
61,Елена,1385273556,490,активно,04.02.2026,06.03.2026,нет
62,Анатолий Феоктистов,400516242,290,,01.02.2026,03.03.2026,нет
63,Кристина,806128424,490,не активно,12.01.2026,11.02.2026,нет
64,Анастасия Филиппова,465962884,290,активно,30.01.2026,01.03.2026,нет
65,Anne🌹,2101642031,290,не активно,23.02.2026,25.03.2026,нет
66,Роман Сайфутдинов,605995673,490,активно,30.01.2026,01.03.2026,нет
67,nn,6180138808,290,не активно,05.02.2026,07.03.2026,нет
68,Antonina,1159028778,490,активно,20.03.2026,20.04.2026,нет
69,Daria,1994055383,490,активно,15.02.2026,17.03.2026,нет
70,Елена Бояринова,5198470305,490,активно,20.02.2026,21.05.2026,нет
71,…..,401544562,290,,06.03.2026,04.06.2026,нет
72,Ксения Ястремская,876585635,490,активно,23.01.2026,23.04.2026,нет
73,Мария Манова ️,1390862970,490,активно,12.03.2026,11.04.2026,нет
74,Евгений,1875880326,290,активно,08.03.2026,07.04.2026,нет
75,Andrey Koryakovtsev,132872808,490,активно,10.02.2026,11.05.2026,нет
76,Ekaterina,1771769738,490,активно,25.01.2026,25.04.2026,нет
77,Konstantin,276993835,1190,,06.03.2026,05.04.2026,нет
78,Виктория Зарифова,319516883,290,активно,09.03.2026,08.04.2026,нет
79,Support,6683648358,1190,активно,16.03.2026,15.04.2026,нет
80,Наталья,1209284281,490,активно,02.03.2026,01.04.2026,нет
81,Mixas,5660087114,1190,активно,04.03.2026,03.04.2026,нет
82,Ксения Сайфутдинова,301932146,490,активно,03.03.2026,01.06.2026,нет
83,Арина,463762155,490,активно,13.03.2026,12.04.2026,нет
84,Ольга Оралова,189220032,1190,активно,13.03.2026,12.04.2026,нет
85,Елена,2053015975,490,активно,13.03.2026,11.06.2026,нет
86,Валерия,621450005,490,активно,07.02.2026,08.03.2026,нет
87,Dmitry ☯️,843277543,290,,27.02.2026,29.03.2026,нет
88,Rartowil,446385163,1190,,06.03.2026,05.04.2026,нет
89,Дарья М.,5211207111,290,активно,26.01.2026,26.04.2026,нет
90,Maxim Kostousov,241038494,,активно,19.03.2026,18.04.2026,нет
91,Елена Ок.,1777553291,490,активно,07.03.2026,06.04.2026,нет
92,Cat Cat,432517600,290,,26.01.2026,26.04.2026,нет
93,Лиза,656276588,490,не активно,09.02.2026,09.03.2026,нет
94,Машуля Каппель,1085995850,490,активно,10.03.2026,09.04.2026,нет
95,Isabela,1885976983,490,активно,13.03.2026,12.04.2026,нет
96,Сергей,1885462681,490,активно,19.01.2026,19.04.2026,нет
97,Кристина,8209796091,290,активно,08.03.2026,07.04.2026,нет
98,Kristina,1233169199,490,активно,09.03.2026,08.04.2026,нет
99,Татьяна Панибрат,261402831,490,активно,08.03.2026,07.04.2026,нет
100,Лиза,341263995,490,активно,15.03.2026,14.04.2026,нет
101,Елена,1648504132,490,активно,06.03.2026,05.04.2026,нет
102,Ekaterina,1724088050,490,активно,21.02.2026,23.03.2026,нет
103,Аделина,830581849,290,активно,07.03.2026,06.04.2026,нет
104,Ксения Макаренко,5218783860,490,активно,08.03.2026,06.06.2026,нет
105,Назарова Татьяна,971996401,290,активно,10.03.2026,09.04.2026,нет
106,Дарья Журавель,1227420517,490,активно,14.03.2026,13.04.2026,нет
107,:),739348242,1190,активно,07.03.2026,06.04.2026,нет
108,Милана,780249668,290,активно,12.03.2026,11.04.2026,нет
109,Yulia Vlasova,1194163992,490,активно,15.02.2026,16.05.2026,нет
110,Елена Алексеенкова,5119395233,290,активно,08.03.2026,06.06.2026,нет
111,Irene,968970666,490,активно,19.01.2026,19.04.2026,нет
112,Андрей,5223851985,490,активно,11.02.2026,13.03.2026,нет
113,Lyudmila Rodko,5222913970,490,активно,31.01.2026,03.02.2026,нет
114,Евгений,1023907294,490,,19.01.2026,18.02.2026,нет
115,Алла Лыщицкая,895977239,290,не активно,01.02.2026,01.07.2026,нет
116,Марина Медведева,5280549223,290,,06.02.2026,08.03.2026,нет
117,Nastya 🐰,814624837,1190,,,,нет
118,Sergei " Строй и Живи 39",844062016,,активно,03.02.2026,05.03.2026,нет
119,Natalia Asadullina,735059362,1190,,24.02.2026,26.03.2026,нет
120,Роман,953060237,490,неактивно,06.02.2026,22.04.2026,нет
121,Lubov Kuchkovskaya 🤍,2024145032,490,активно,19.01.2026,19.04.2026,нет
122,Светлана Киселева,1858406201,490,активно,23.01.2026,23.04.2026,нет
123,Елена Тихон,1169122513,,активно,05.12.2025,04.01.2026,нет
124,Екатерина,1006251067,,не активно,04.12.2025,03.01.2026,нет
125,Irina Bandaru,881544228,,не активно,05.12.2025,04.01.2026,нет
126,Алексей,7193515054,,не активно,04.12.2025,03.01.2026,нет
127,Alenka РЕПЕТИТОР_ОБЩЕСТВО,334138291,,активно,09.12.2025,08.01.2026,нет
128,🧸,859665890,,активно,05.12.2025,04.01.2026,нет
129,Dasha,168325036,,активно,04.01.2026,03.02.2026,нет
130,😈Vikki😈,1427305009,290,активно,02.03.2026,01.04.2026,нет
131,@Avi_Niks,351480196,1190,активно,31.03.2026,30.04.2026,нет
132,null,955803811,1190,активно,31.03.2026,30.04.2026,нет
133,Denis Alexandrov,473399247,1190,активно,30.03.2026,30.04.2026,нет
134,@dariya_zarubina,725091807,490,неактивно,01.03.2026,30.03.2026,нет
135,null,8262038140,,,,,нет
136,null,465666277,1190,активно,28.03.2026,27.04.2026,нет
137,null,724733684,490,активно,28.03.2026,27.04.2026,нет
138,Без имени,6247221208,1190,активно,20.03.2026,20.04.2026,нет
139,null,347643315,,,,,нет
140,@wasshhhh,2094854826,490,активно,18.03.2026,18.04.2026,нет
141,null,6065560441,290,активно,27.03.2026,26.04.2026,нет
142,@gareee_kkl,1094654285,490,активно,05.03.2026,05.04.2026,нет
143,@Agikgd,831436106,490,активно,21.01.2003,21.04.2026,нет
144,null,1828062023,,,,,нет
145,@roman_chatbots,5444227047,490,активно,25.03.2026,25.04.2026,нет
146,@Taisiya_039,5262862655,490,активно,20.03.2026,24.04.2026,нет
